SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
0,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219
5,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219,0.0010908023926550219
10,0.0010907283062179573,0.0010907283062179573,0.0010907283062179573,0.0010907283062179573,0.0010907283062179573,0.0010907283062179573,0.0010907283062179573
15,0.0010869712213883685,0.0010869712213883685,0.0010869712213883685,0.0010869712213883685,0.0010869712213883685,0.0010869712213883685,0.0010869712213883685
20,0.0010448639086533332,0.00104486391450191,0.001044866273986212,0.001044883708348082,0.0010448860678323839,0.0010448860736809607,0.0010448860736809607
25,0.000920350250667963,0.0009203505554657293,0.0009204735196608796,0.0009213821089970051,0.0009215050731921554,0.0009215053779899217,0.0009215053779899217
30,0.0007744583230382346,0.0007745028476013633,0.0007762663402795219,0.0007870709565035323,0.0007882888446728986,0.0007883464129630891,0.000788471433714524
35,0.0006924297063156083,0.0006944716170630886,0.0007129496373582142,0.0007388138738807641,0.0007300541229121604,0.0007327179017536127,0.0007389224252129401
40,0.0007778774759189768,0.0007990263182489498,0.0009397876088817088,0.0008260721198206163,0.0006785072064991645,0.0007050923108136944,0.0007693311541470139
45,0.0010185630854103738,0.0010646705260623428,0.0013471767816619037,0.0009088103183829923,0.0005150306687498088,0.0005620521119347339,0.0006978280589746041
50,0.0010820201029625902,0.0011018304484187078,0.0011930524547152958,0.0007224467816547302,0.00042104960883877963,0.0004132096296842005,0.00045491491074073473
55,0.0009850605816281277,0.0009734385238133283,0.0009005682618052092,0.0005516870899407648,0.0006089417573733684,0.000531386471268329,0.0004136638000646528
60,0.001167636506414355,0.00112823490004876,0.0009302708022156667,0.0006719133354052013,0.0010784987935583657,0.0008420663733602892,0.0005557688406842115
65,0.0016565232099057421,0.0015986458658564051,0.0011919803687597868,0.0008980809685872129,0.0012318950419647182,0.0008795367422806915,0.0006633887901262986
70,0.001974777250382163,0.0018962590518901614,0.0012843427922157816,0.0009463927491495664,0.0010362979107165352,0.0007305428338302799,0.0005952739205997602
75,0.0017717710638421587,0.0016997483097534048,0.0011571186852084902,0.0009964023007795254,0.0008856283660936075,0.0006363280882952336,0.0005330112837767598
80,0.0011142276531361695,0.0010741029508998618,0.0008021483013243152,0.0009212584747035188,0.0007389112190412817,0.0005788788450509771,0.0004899458144140855
85,0.0006113269249498577,0.000600556533662239,0.0005571110717961403,0.0007905935026937884,0.0006125582785276002,0.0005248210676900418,0.00044432432821031457
90,0.0005169765721209838,0.0005161070240451482,0.0005239100332755039,0.0006194519868558237,0.0005521107884542283,0.0005247534727658077,0.0004945698426556228
95,0.0005332706499420343,0.0005332564738168798,0.0005344686376718579,0.0005433792229619313,0.0005371710252263483,0.0005347555993087249,0.0005319774611918653
100,0.00053587924252107,0.0005358793088750894,0.0005359060285012776,0.0005360838521290168,0.0005359602795010491,0.0005359127413886676,0.0005358574664285791
