SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
0,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684
5,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684,0.0008107933956004684
10,0.0008109064564598515,0.0008109079202360833,0.0008109080652740872,0.0008108292371224731,0.0008108183708403312,0.0008108183438963514,0.0008108183438963514
15,0.000816563695266821,0.0008166347113980124,0.0008166207859478037,0.0008126386560246995,0.0008120901176839739,0.0008120887575486726,0.0008120887575486726
20,0.000877042957277441,0.0008776971510378033,0.0008765937809980255,0.0008325738239003712,0.0008265274649012331,0.0008265124733640866,0.0008265124733640866
25,0.001028234558487049,0.0010281267707044673,0.0010108977783754337,0.0008871382449641289,0.0008703415100640632,0.0008702448069770271,0.0008702025798236286
30,0.001171288086266242,0.0011605530734038526,0.0010658496663468221,0.0009333606331050151,0.0009139728509716754,0.0009111336305463089,0.0009089930854582113
35,0.0012835679609980912,0.00125131060246422,0.0010419369101293966,0.000938073455390724,0.0008955111962054285,0.0008641607147094389,0.0008401942917829919
40,0.001385685032935117,0.0012962862745750571,0.001050147085747754,0.0009294991147065653,0.0008207615544021381,0.0007277699337953636,0.000656704034005044
45,0.0015817963412618427,0.0013853205131636572,0.0010897506863930104,0.0009419088690076039,0.0007882046435957293,0.0006693993337946893,0.0005799986826835629
50,0.0016532362626792683,0.0014387853713298995,0.0010948105602493303,0.0009634735894585221,0.0007783446112766247,0.0006618626138502799,0.0005793406268790888
55,0.0016080087978114863,0.0014039371215968327,0.0010992722080467208,0.0009522115116448669,0.0007638238710703487,0.0006469055554190629,0.0005786605946312897
60,0.001615550243638525,0.0013597810991471022,0.001123273376985019,0.0009331430171898122,0.0007754856351886676,0.0006485646153515772,0.0005968288174059281
65,0.0017791098201757536,0.0013744716386616305,0.0011119596023514621,0.0009211423765873711,0.0007745769795106573,0.0006545269625163207,0.0006102134513773844
70,0.0018832616599156,0.00135050562718168,0.0010698563574610014,0.0009179391195977982,0.0007736153309260327,0.0006637261849686995,0.0006201721241693261
75,0.0015341221789892522,0.00129484068443296,0.0010443531205626836,0.0009167676913137018,0.0007731020532330808,0.0006648260733225909,0.0006340897181955741
80,0.001363525843360975,0.0013155037588257472,0.0010861000047186302,0.0009057594260487307,0.0007765974932936603,0.000667523000403172,0.0006349128607221631
85,0.001339533751973781,0.001318703752956869,0.001139069611544829,0.0008939965492563261,0.0007818706911279866,0.0006777645635148661,0.0006304236016354591
90,0.0013261472372408023,0.0013098000194884003,0.0011568261923811571,0.0008900848810098981,0.0007837158575565201,0.0006826145284025249,0.0006289166175474007
95,0.001324655629219122,0.001308710697780708,0.0011583884405883902,0.0008897403947625145,0.0007838798282988244,0.0006830817584132294,0.0006287877867282931
100,0.0013246242787355272,0.0013086874930282625,0.0011584190935489313,0.0008897336319148765,0.0007838830542032287,0.0006830911643489551,0.0006287852865438533
