SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
18,3.606532525666227,3.606532525666227,3.606532525666227,3.606532525666227,3.606532525666227,3.606532525666227,3.606532525666227
19,3.61301610236605,3.61301610236605,3.61301610236605,3.61301610236605,3.61301610236605,3.61301610236605,3.61301610236605
20,3.6183285312118283,3.6183285312118283,3.6183285312118283,3.6183285312118283,3.6183285312118283,3.6183285312118283,3.6183285312118283
21,3.6229879587929785,3.6229879587929785,3.6229879587929785,3.6229879587929785,3.6229879587929785,3.6229879587929785,3.6229879587929785
22,3.627448853588718,3.627448853588718,3.6274488535509875,3.6274488516223498,3.6274488294451936,3.627448759381621,3.6274486826023975
23,3.6321590258373435,3.6321590258373435,3.632159025289332,3.6321589972775232,3.632158675173283,3.63215765755975,3.632156542407138
24,3.6376163166468283,3.6376163166468283,3.6376163119596887,3.637616072374728,3.6376133174176637,3.637604613770679,3.637595075872109
25,3.644540049532706,3.644540049532706,3.6445400225646223,3.644538644080503,3.6445227930665145,3.6444727154693455,3.6444178378940864
26,3.6541879588610744,3.6541879588610744,3.6541878507586754,3.6541823250624255,3.654118785782321,3.6539180481843436,3.6536980697256527
27,3.6683720992029256,3.668372099538682,3.6683718063813857,3.6683561422474207,3.6681744009759667,3.667599192976991,3.666968659151565
28,3.688381535953302,3.688381540382421,3.6883811127562867,3.6883502935500103,3.6879745125603627,3.6867735577640146,3.6854548753416196
29,3.7131114301488464,3.7131114651907433,3.713112220022942,3.7130799067030047,3.7125390469465254,3.71072122621979,3.7087081626497733
30,3.738286707507176,3.7382868906306133,3.73829497312712,3.738337613050382,3.73794306535249,3.7361249349649226,3.734020615327847
31,3.75814105299794,3.7581416891026618,3.7581729224748592,3.7584805914294526,3.758938513213359,3.75838927891592,3.7573886117219084
32,3.768844318375799,3.7688457914866307,3.7689203326717466,3.769728238503607,3.7718307947008807,3.7737980158890094,3.774998436961334
33,3.7712743815995227,3.771276618898683,3.7713936790078035,3.772699387082877,3.776437176416767,3.780874584216194,3.78419636757537
34,3.7712743815995227,3.771276618898683,3.7713936790078035,3.772699387082877,3.776437176416767,3.7810074718355238,3.784927777158006
35,3.7712743815995227,3.771276618898683,3.7713936790078035,3.772699387082877,3.776437176416767,3.7810074718355238,3.784927777158006
36,3.7741103634229205,3.774111657442322,3.774158218554721,3.774635042593168,3.776437176416767,3.7810074718355238,3.784927777158006
37,3.779469705773592,3.779478106415592,3.7795758901946055,3.7799057724224423,3.7804206862203085,3.7810074718355238,3.784927777158006
38,3.7865368975242566,3.7865606421179443,3.786810142463988,3.7873786755086813,3.787712836802564,3.7878476599408715,3.7879331171462427
39,3.7965251681214127,3.7965632799114832,3.796960687298142,3.7978318105920708,3.7982403803642795,3.7982931437345435,3.798305100370152
40,3.810161684497955,3.8102004739951085,3.8106046923931958,3.8114878429186225,3.8118929841476774,3.8119329859073616,3.811934689008603
41,3.8259227495941133,3.825948747038658,3.826219646631593,3.826811345742132,3.8270822453350672,3.827108242779612,3.827108765738852
42,3.8409709178141993,3.8409825151336676,3.841103361977586,3.8413673157520565,3.841488162595975,3.8414997599154437,3.8414999932047333
43,3.852683336734925,3.8526867764537114,3.852722619146535,3.8528009067852618,3.8528367494780853,3.8528401891968715,3.8528402583895462
44,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
45,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
46,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
47,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
48,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
49,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
50,3.858736618722263,3.8587372930600354,3.8587443198209863,3.858759667677953,3.8587666944389043,3.858767368776677,3.858767382341517
51,3.8666604898519252,3.8649566917921936,3.8632112242405863,3.862626530635719,3.862590008936823,3.8625948728656976,3.8625954019626256
52,3.8737762700947176,3.8704886118240456,3.8671835045717495,3.866170064251408,3.866198918009835,3.8662419084670208,3.8662459273094343
53,3.874578240695579,3.870619489525533,3.8671835045717495,3.8663001156509083,3.866834597943961,3.8670558133759876,3.867075776087484
