SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
0,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844
5,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844,45243.79401974844
10,45244.90993775147,45244.90993775147,45244.90993775147,45244.90993775147,45244.90993775147,45244.90993775147,45244.90993775147
15,45301.50057385667,45301.50057385667,45301.50057385667,45301.50057385667,45301.50057385667,45301.50057385667,45301.50057385667
20,45932.73258494785,45932.734120205336,45933.3534872809,45937.93002534808,45938.54939242365,45938.550927681135,45938.550927681135
25,47661.811691599396,47661.88801259795,47692.678100960395,47920.187791161545,47950.97787952399,47951.054200522536,47951.054200522536
30,48447.32220829088,48448.21060050944,48769.770756395046,51141.237856348125,51465.42836823735,51467.52832063983,51468.39866990765
35,47683.0306773138,47689.39623746381,48425.910837836345,53642.43094478293,54517.66773466841,54588.57678027575,54635.134885276435
40,46905.28022484536,46954.29960258392,47645.18807375486,50438.667951255586,52887.895856857715,53778.98654027111,54393.44858957565
45,42779.05297031224,42882.97283821601,43699.23412244397,45099.9254896023,53020.07116624725,56729.86258866416,59418.695932605944
50,41910.19448842008,41886.93876159374,42178.067628758065,43415.8268171129,54261.848065827944,59759.378345291014,63894.633791415006
55,44114.569376416795,43364.68520859636,42884.676126878694,43432.508834207794,49248.73986520377,50888.81461792078,52193.0900903148
60,47245.189202821326,45480.78364594729,43492.98256114087,43454.608632446376,47587.284069702306,45981.98017476304,44890.873848891766
65,41505.83238753675,40399.14562306592,37551.54619880096,39347.6898076903,41996.21275460313,40789.543589142326,40340.59025694058
70,35646.7409054865,35393.1870397802,34632.55912306577,39160.9310114096,40037.695269302756,41482.36566884948,43587.31756574579
75,36615.28918907646,36832.99812266891,38911.7540917021,42532.65220315884,42872.935405576965,45607.8963117814,48089.953539277005
80,52568.379272667684,52819.38549179733,54297.717853123206,51216.00965933611,47209.148506407,47949.10405253856,49283.264409485
85,74656.72201285049,74733.84209351202,74292.03616820941,65721.62374090237,56821.7193029051,55217.73913936895,55310.50561816542
90,76992.29493512174,76998.03351192661,76588.3192824945,72726.49873680335,68708.1353052585,67825.6582648293,67704.581353039
95,74132.10398051883,74132.1297165477,74089.2633958047,73720.81196042318,73336.61481086619,73249.58781706612,73235.06918534968
100,73780.61539401731,73780.61321764931,73779.73295017102,73772.33408533505,73764.61375584714,73762.8516127583,73762.54465310636
